people:firstName,people:lastName,people:salutation,people:personTitle,people:pseudonym,people:nameSuffix,people:maidenName,people:phoneNumber,Interest,Profession,people:languages,people:tags,people:mailingLists,people:birthDate,people:emailAddress,people:emailAddressOther,people:org,people:role,people:department,PhoneDirect,Facebook,jcr:description,
Susanne,Stiehm,Mrs.,,,,,,Video Art,Curator,,"Film Festival, VIP",Generic Newsletter,,stiehm@saltnpepper.de,,www.saltnpepper.de,Director Accreditation,Accreditation,+49 30 252 20 191,,,
Eike,Trentmann,Mr.,,,,,,,Filmmaker,,Film Studio,Generic Newsletter,,eike.trentmann@studiooranienburg.com,elkenelke@gmail.com,www.studiooranienburg.com,Director Communicaton / PR,Communicaton / PR,+49 331 727 21 37 ,https://www.facebook.com/eike.trenni.14,,
Conrad,Veidt,Mr.,,,,,,,,,,Generic Newsletter,,,,,,,,,,
Marco,Werner,Mr.,,,,,,,Driver,,"Fahrdienst, Security, VIP",Generic Newsletter,,werner@lady-events.de,,www.lady-events.de,"Managing Director, Founder",,+49 30 89907525,,"The quick, brown fox jumps over a lazy dog. DJs flock by when MTV ax quiz prog. Junk MTV quiz graced by fox whelps. Bawds jog, flick quartz, vex nymphs. Waltz, bad nymph, for quick jigs vex! Fox nymphs grab quick-jived waltz. Brick quiz whangs jumpy veldt fox. Bright vixens jump; dozy fowl quack. Quick wafting zephyrs vex bold Jim. ",
Tomislav,Weydel,Mr.,,,,,+49 178 88 85 11 5,,"Filmmaker, Director, Writer",,"Film School Director, Script",Generic Newsletter,,office@filmship.de,,www.filmship.de,Lector,Dramaturgy,030 69931 97 1,https://www.facebook.com/tomislav.weydel.16,,
Robert,Wiene,Mr.,,,,,,,,,,,,,,,,,,,,
Annedore,Willadt,Mrs.,,,,,,Kids Film,Filmmaker,,"Film Production, VIP ","Generic Newsletter, Jury",,doro@sabotage-clips.de,,www.sabotage-clips.de,Managing Director,,,,"Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae. Itaque earum rerum hic tenetur a sapiente delectus, ut aut reiciendis voluptatibus maiores alias consequatur",
Rosa,Woebcken,Mr.,,,,,,,"Filmmaker, Director",,"Film Production, Director, VIP",,,minni@aol.com,,www.minnischuber.de,Managing Director,,+49 30 8854132,https://www.facebook.com/rosa.w.filmproduktion,,
Inga,Wolf,Mrs.,,,,,,,"Filmmaker, Teacher",,"Film School, VIP",Generic Newsletter,,inga.wolf@filmarche.de,wolfinga@web.de,www.filmship.de,Managing Director,,,,,
Sol M.,Wurtzel,,,,,,,,,,,Invitation - Closing Gala,,,,,,,,,,
Chick Lim,Yu,,,,,,,,,,,Invitation - Closing Gala,,,,,,,,,,
Tanja,Ziemann,Mrs.,,,,,,,"Filmmaker, Producer",German,"Film Production, VIP",Jury,,ziemann@brickandstone-film.de,tanjadrehtab@gmx.net,www.brickandstone-film.de,Managing Director,,,https://www.facebook.com/tanja.ziemannnn,At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident,
Иван,Соловов,Mr.,,,,,,,director,,,Invitation - Closing Gala,,,,,,,,,,
Jost,,Mr.,,,,,,,Producer,German,"Film Production, VIP",Public Newsletter,02/12/1981,j.hering@jimhering.com,jostwillmost@hotmail.com,www.jimhering.com,Managing Director,,+49 30 777 568 56,,,
Jörg,,Mr.,,,,,+49 152 5263319,,"Filmmaker, Producer, Distributor",,Film Production Distributor,Public Newsletter,,jtm@symbiontfilm.de,derjoerg@lala.de,www.symbiontfilm.de,Managing Director,,,https://www.facebook.com/jorg.tm,"But who has any right to find fault with a man who chooses to enjoy a pleasure that has no annoying consequences, or one who avoids a pain that produces no resultant pleasure?",Ivan Solovov
